Obs,CLINIC,YEAR,GENDERSP,TOTAL,Susceptible,TetI,PenI,PenI_TetI,TetR,TetR_PenI,PenR,PenR_TetI,PenR_TetR,CipI_PenI_TetI,TetR_CipI,AziRS_PenI_TetI,CipI_TetI,CipR_PenR_TetR,CipR_PenI_TetI,CipR_TetR_PenI,CipR_PenI,CipR_PenR_TetI,AziRS_CipR_PenR_TetR,PenR_CipI_TetI,PenR_TetR_CipI,CipR_PenR,TetR_CipI_PenI,AziRS_CipR_TetR_PenI,AziRS_TetR_PenI,AziRS_PenR_TetR,AziRS_PenR_TetI,CipI_PenI,CfxRS_CipR_PenR_TetR,CfxRS_PenI_TetI,AziRS,AziRS_TetI,AziRS_PenI,CfxRS_CipI_PenI_TetI,AziRS_CipR_PenI_TetI,CfxRS_TetR_PenI,CipR_TetI,CipI,AziRS_PenR,PenR_CipI,AziRS_TetR_CipI_PenI,CipR,CipR_TetR,AziRS_CipI_PenI_TetI,CfxRS_CipR_TetR_PenI,AziRS_TetR,AziRS_CipR_PenR_TetI,CroRS_CfxRS_CipR_PenR_TetR,CroRS_CfxRS_PenR_TetI,CfxRS_PenR_TetR
1540,PHX,2007,MSM,41,1,.,7,18,.,3,.,1,2,.,.,.,.,5,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1541,PHX,2007,MSMW,7,.,.,.,1,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1542,PHX,2008,MSW,172,35,3,54,47,.,20,.,2,1,.,.,1,.,6,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1543,PHX,2008,MSM,55,3,.,2,25,.,2,.,.,.,.,.,.,.,12,1,9,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1544,PHX,2008,MSMW,17,2,.,1,3,.,2,.,.,.,.,.,.,.,5,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1545,PHX,2008,Oth/Unk/Missing,4,.,.,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1546,PHX,2009,MSW,146,.,.,61,51,.,14,.,9,1,.,.,.,.,8,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1547,PHX,2009,MSM,58,.,.,6,25,.,5,.,.,.,.,.,.,.,12,1,7,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1548,PHX,2009,MSMW,12,.,.,3,4,.,2,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1549,PHX,2009,Oth/Unk/Missing,11,.,.,2,5,.,1,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1550,PHX,2010,MSW,104,.,.,31,46,.,7,.,1,3,.,.,1,.,9,4,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1551,PHX,2010,MSM,71,.,.,2,43,.,9,.,.,1,.,.,2,.,9,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1552,PHX,2010,MSMW,12,.,.,1,6,.,.,.,1,1,.,.,1,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1553,PHX,2010,Oth/Unk/Missing,12,.,.,3,6,.,2,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1554,PHX,2011,MSW,178,.,.,48,77,.,36,.,2,5,.,.,1,.,4,1,1,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
1555,PHX,2011,MSM,100,.,.,12,42,.,19,.,1,1,.,.,2,.,8,3,10,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1556,PHX,2011,MSMW,13,.,.,1,7,.,3,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1557,PHX,2011,Oth/Unk/Missing,9,.,.,3,1,.,3,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1558,PHX,2012,MSW,187,.,.,55,82,.,38,.,.,1,.,.,.,.,3,2,2,.,.,.,.,.,.,3,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1559,PHX,2012,MSM,92,.,.,16,29,.,22,.,2,.,.,.,.,.,3,7,7,1,3,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1560,PHX,2012,MSMW,15,.,.,2,3,.,6,.,.,.,.,.,.,.,1,1,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1561,PHX,2012,Oth/Unk/Missing,6,.,.,1,1,.,1,.,2,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1562,PHX,2013,MSW,172,.,.,40,80,.,33,.,.,.,.,.,.,.,1,9,6,.,1,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1563,PHX,2013,MSM,115,.,.,11,54,.,26,.,3,.,.,.,1,.,6,6,7,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1564,PHX,2013,MSMW,11,.,.,1,3,.,5,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1565,PHX,2013,Oth/Unk/Missing,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1566,PHX,2014,MSW,190,.,.,17,103,.,37,.,.,1,.,.,1,.,6,5,15,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1567,PHX,2014,MSM,91,.,.,4,28,.,24,.,2,.,.,.,1,.,9,4,16,.,.,.,.,.,.,.,.,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1568,PHX,2014,MSMW,18,.,.,2,4,.,4,.,.,1,.,.,.,.,1,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1569,PHX,2014,Oth/Unk/Missing,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1570,PHX,2015,MSW,204,.,.,26,82,.,48,.,.,2,.,.,.,.,7,8,19,.,.,.,.,.,.,1,.,9,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1571,PHX,2015,MSM,83,.,.,4,12,.,12,.,5,.,1,.,3,.,10,8,22,.,2,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1572,PHX,2015,MSMW,13,.,.,.,1,.,3,.,.,.,.,.,.,.,.,2,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1573,PHX,2016,MSW,207,.,.,16,95,.,39,.,4,3,1,.,1,.,9,17,12,.,2,1,.,1,.,1,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1574,PHX,2016,MSM,75,.,.,3,12,.,8,.,11,1,.,.,8,.,4,14,5,.,3,1,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1575,PHX,2016,MSMW,18,.,.,.,2,.,.,.,.,.,.,.,1,.,1,12,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1576,PHX,2017,MSW,202,2,3,9,90,.,36,3,7,13,.,.,2,.,8,16,2,.,6,1,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
1577,PHX,2017,MSM,78,.,.,5,29,.,11,.,5,4,.,.,.,.,2,9,2,.,6,.,.,.,.,.,.,1,.,1,.,.,.,.,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1578,PHX,2017,MSMW,15,.,.,.,7,.,2,.,1,.,.,.,1,.,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1579,PHX,2017,Oth/Unk/Missing,5,.,.,.,3,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1580,PHX,2018,MSW,200,7,.,15,99,.,36,.,3,.,3,.,.,.,11,17,2,2,3,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1581,PHX,2018,MSM,80,.,.,5,21,.,16,.,1,1,.,.,2,.,3,16,1,1,1,.,.,.,.,.,3,7,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1582,PHX,2018,MSMW,13,.,.,1,4,.,1,.,.,.,.,.,.,.,2,3,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1583,PHX,2018,Oth/Unk/Missing,7,.,.,.,5,.,.,.,.,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1584,PHX,2019,MSW,207,2,1,10,96,.,26,.,1,4,1,.,3,.,5,35,8,1,7,1,.,.,.,1,.,2,.,.,.,.,.,.,.,1,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
1585,PHX,2019,MSM,65,.,1,.,17,.,12,.,1,1,.,.,.,.,2,11,11,2,2,.,.,.,.,.,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1586,PHX,2019,MSMW,17,1,.,.,7,.,2,.,.,.,.,.,1,.,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1587,PHX,2019,Oth/Unk/Missing,11,.,.,2,7,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1588,PON,2012,MSW,167,.,.,64,69,.,25,.,3,3,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1589,PON,2012,MSM,19,.,.,2,11,.,2,.,1,1,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1590,PON,2012,MSMW,7,.,.,1,4,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1591,PON,2012,Oth/Unk/Missing,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1592,PON,2013,MSW,156,2,.,88,42,.,11,.,9,1,.,.,.,.,.,1,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1593,PON,2013,MSM,26,.,.,1,9,.,4,.,1,.,.,.,1,.,1,4,4,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1594,PON,2013,MSMW,7,.,.,1,3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1595,PON,2013,Oth/Unk/Missing,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1596,PON,2014,MSW,69,.,.,43,8,.,4,3,3,.,.,.,.,.,2,.,2,1,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1597,PON,2014,MSM,61,.,.,27,14,.,4,1,2,.,.,.,.,.,1,2,2,1,.,1,.,.,.,2,1,.,1,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1598,PON,2014,MSMW,5,.,.,.,3,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1599,PON,2015,MSW,138,.,.,71,33,.,13,2,6,.,.,.,.,.,3,3,2,2,.,.,.,.,.,1,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1600,PON,2015,MSM,51,.,.,4,21,.,6,.,3,.,2,.,.,.,6,2,6,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1601,PON,2015,MSMW,8,.,.,2,3,.,1,.,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1602,PON,2015,Oth/Unk/Missing,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1603,PON,2016,MSW,173,.,.,81,36,.,9,7,8,2,.,.,.,.,7,13,1,2,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1604,PON,2016,MSM,52,.,.,7,11,.,8,.,.,1,.,.,.,.,1,12,.,.,9,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1605,PON,2016,MSMW,10,.,.,.,2,.,2,.,.,.,.,.,.,.,.,2,1,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1606,PON,2017,MSW,166,4,4,36,61,.,10,1,14,1,.,.,2,.,8,12,7,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1607,PON,2017,MSM,58,.,.,3,14,.,14,.,1,1,.,.,.,.,1,7,3,.,8,.,.,.,.,1,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1608,PON,2017,MSMW,7,.,.,.,2,.,1,.,.,.,.,.,.,.,.,1,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1609,PON,2018,MSW,179,11,3,40,48,1,21,3,6,2,2,.,1,.,2,14,4,.,17,1,.,.,.,.,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1610,PON,2018,MSM,53,2,.,2,10,.,15,.,.,.,.,.,.,.,.,13,1,.,8,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1611,PON,2018,MSMW,12,.,1,2,1,.,4,.,.,.,.,.,.,.,.,3,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1612,PON,2018,Oth/Unk/Missing,2,1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1613,PON,2019,MSW,134,9,3,26,35,.,23,.,1,.,1,.,1,.,4,11,4,.,11,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1614,PON,2019,MSM,53,2,2,1,12,.,14,.,.,.,.,.,1,.,2,12,2,.,3,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1615,PON,2019,MSMW,10,.,.,.,2,.,4,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1616,PON,2019,Oth/Unk/Missing,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1617,POR,2000,MSW,122,12,5,14,57,.,9,.,13,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
1618,POR,2000,MSM,26,.,.,1,11,.,2,.,3,7,.,.,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1619,POR,2000,Oth/Unk/Missing,3,.,1,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1620,POR,2001,MSW,116,6,1,35,55,.,7,.,2,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1621,POR,2001,MSM,56,3,.,6,26,.,4,.,1,13,1,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1622,POR,2001,MSMW,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1623,POR,2001,Oth/Unk/Missing,14,.,.,1,11,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1624,POR,2002,MSW,87,11,.,34,35,.,2,.,1,1,1,.,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1625,POR,2002,MSM,25,1,.,6,15,.,.,.,.,1,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1626,POR,2002,Oth/Unk/Missing,3,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1627,POR,2003,MSW,95,5,1,24,42,1,13,.,.,4,2,.,.,.,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1628,POR,2003,MSM,35,.,.,8,18,.,5,.,.,1,.,.,.,.,1,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1629,POR,2003,Oth/Unk/Missing,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1630,POR,2004,MSW,124,26,5,32,38,.,7,.,3,1,1,.,.,.,7,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1631,POR,2004,MSM,55,3,1,5,33,.,3,.,.,.,.,.,.,.,5,3,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1632,POR,2004,MSMW,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1633,POR,2004,Oth/Unk/Missing,11,2,.,2,4,.,1,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1634,POR,2005,MSW,113,26,1,37,34,.,2,.,.,.,.,.,.,.,11,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1635,POR,2005,MSM,105,3,.,14,40,.,5,.,2,7,.,.,.,.,23,7,1,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1636,POR,2005,MSMW,9,.,.,1,1,.,.,.,.,1,.,.,.,.,2,3,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1637,POR,2005,Oth/Unk/Missing,11,1,.,4,4,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1638,POR,2006,MSW,79,8,1,14,36,.,3,.,.,1,.,.,.,.,9,3,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1639,POR,2006,MSM,71,3,2,3,24,.,7,.,.,3,.,.,.,.,24,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1640,POR,2006,MSMW,12,.,.,.,6,.,1,.,.,1,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1641,POR,2006,Oth/Unk/Missing,7,1,.,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1642,POR,2007,MSW,64,1,.,18,26,.,9,.,3,4,.,.,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1643,POR,2007,MSM,67,.,.,6,13,.,6,.,1,4,.,.,2,.,27,5,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1644,POR,2007,MSMW,10,2,.,1,2,.,1,.,.,1,.,.,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1645,POR,2007,Oth/Unk/Missing,6,.,.,.,4,.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1646,POR,2008,MSW,63,5,.,19,16,.,3,.,1,5,.,.,.,.,7,5,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1647,POR,2008,MSM,73,.,.,5,9,.,4,.,1,1,.,.,.,.,42,6,3,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1648,POR,2008,MSMW,11,.,.,.,1,.,1,.,.,.,.,.,.,.,8,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1649,POR,2008,Oth/Unk/Missing,10,.,.,3,.,.,2,.,.,.,.,.,.,.,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1650,POR,2009,MSW,48,.,.,31,6,.,3,.,.,1,.,.,.,.,3,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1651,POR,2009,MSM,45,.,.,9,20,.,3,.,.,2,.,.,.,.,4,4,1,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1652,POR,2009,MSMW,9,.,.,2,3,.,.,.,.,1,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1653,POR,2009,Oth/Unk/Missing,3,.,.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
